,ingredient,name,url
133,water,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
134,olive oil,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
135,white wine vinegar,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
136,coarse grind black pepper,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
137,salt,"tenderloin, cranberry and pear salad with honey mustard dressing",http://www.beefitswhatsfordinner.com/recipes/recipe/1160/tenderloin-cranberry-and-pear-salad-with-honey-mustard-dressing
138,beef top round steak,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
139,prepared lowfat vinaigrette,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
140,fresh sugar snap peas,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
141,cooked barley,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
142,yellow and red grape or teardrop tomatoes,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
143,cloves  garlic,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
144,pepper,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
145,prepared lowfat vinaigrette,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
146,chopped fresh parsley,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
147,grated lemon peel,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
148,pepper,"steak, sugar snap pea & barley salad",http://www.beefitswhatsfordinner.com/recipes/recipe/1501/steak-sugar-snap-pea-barley-salad
149,beef top sirloin steak boneless or top round steak,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
150,plus stir-fry sauce and marinade,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
151,rice paper wrappers,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
152,shredded carrots,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
153,lightly packed fresh cilantro,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
154,additional prepared stir-fry sauce and marinade,beef spring rolls with carrots and cilantro,http://www.beefitswhatsfordinner.com/recipes/recipe/1731/beef-spring-rolls-with-carrots-and-cilantro
155,beef sirloin tip steaks,simple asian beef salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1732/simple-asian-beef-salad
156,prepared asian-style dressing,simple asian beef salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1732/simple-asian-beef-salad
157,cloves  garlic,simple asian beef salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1732/simple-asian-beef-salad
158,mixed salad greens,simple asian beef salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1732/simple-asian-beef-salad
159,dry-roasted peanuts,simple asian beef salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1732/simple-asian-beef-salad
160,beef top sirloin steak boneless,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
161,beets,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
162,water,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
163,sweet potatoes,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
164,shallots,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
165,olive oil,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
166,sea salt,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
167,ground cumin,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
168,coarse grind black pepper,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
169,mixed salad greens,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
170,sea salt,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
